Data 1: Genesis Block,Current Hash:  89eb0ac031a63d2421cd05a2fbe41f3ea35f5c3712ca839cbf6b85c4ee07b7a3,Previous Hash:   0
"Data 2: [[R, 0, Account, 25117, M, 0.9923818111419678], [Q, 0, Account, 1106972, M, 0.9923818111419678], [C, 1, Credit, 71617, M, 0.9943764209747314], [T, 1, Account, 62252, M, 0.9953758716583252]]",Current Hash:  3df5d204d85c932e76a39062332a58a342cd2da9321cf167dbc533fc0c02341c,Previous Hash:   89eb0ac031a63d2421cd05a2fbe41f3ea35f5c3712ca839cbf6b85c4ee07b7a3
"Data 3: [[J, 1, Account, 94404, M, 0.9963719844818115]]",Current Hash:  a4bf8226294927264cb521454b92be0b31cdc1aa8f77e9e24cfbe8575ed68a62,Previous Hash:   3df5d204d85c932e76a39062332a58a342cd2da9321cf167dbc533fc0c02341c
"Data 4: [[T, 1, Credit, 65419, M, 0.9993627071380615], [J, 1, Credit, 13038, M, 0.9993627071380615], [R, 1, Account, 68859, M, 1.0003607273101807], [W, 1, Account, 32230, M, 1.0003607273101807], [Y, 1, Account, 83505, M, 1.0003607273101807]]",Current Hash:  56fb371e63918ece87c450dd8e084aa28f17ed6f44310c272b6f67a1551941d1,Previous Hash:   a4bf8226294927264cb521454b92be0b31cdc1aa8f77e9e24cfbe8575ed68a62
"Data 5: [[X, 1, Credit, 17408, M, 1.006345510482788], [R, 0, Credit, 15933, M, 1.006345510482788], [B, 1, Account, 1373, M, 1.0083389282226562], [H, 1, Account, 29387, M, 1.0083389282226562]]",Current Hash:  4697dfc0d69b857472d2d9e4bb95fc1372dffeecc6fd98984596a4452ccd7dae,Previous Hash:   56fb371e63918ece87c450dd8e084aa28f17ed6f44310c272b6f67a1551941d1
"Data 6: [[Y, 0, Credit, 80346, M, 1.0123286247253418], [A, 0, Account, 159350, M, 1.0142905712127686], [Q, 1, Account, 58886, M, 1.0142905712127686], [W, 0, Credit, 131610, M, 1.0152881145477295], [D, 0, Account, 1116073, M, 1.017282485961914]]",Current Hash:  5a368a8d063c54c897018a84a42cdaaa1d9fceafd0920c349854411d2f45462f,Previous Hash:   4697dfc0d69b857472d2d9e4bb95fc1372dffeecc6fd98984596a4452ccd7dae
"Data 7: [[D, 0, Credit, 1988920, M, 1.0202746391296387], [R, 1, Credit, 67873, M, 1.0202746391296387], [Q, 1, Account, 16228, M, 1.0202746391296387], [Y, 1, Credit, 915, M, 1.0202746391296387], [C, 1, Account, 97614, M, 1.0222694873809814]]",Current Hash:  bf67a965e12a788184879fd9ee4b9b32f9b31742a227cd151fd1329265d51940,Previous Hash:   5a368a8d063c54c897018a84a42cdaaa1d9fceafd0920c349854411d2f45462f
"Data 8: [[D, 1, Credit, 24581, M, 1.0232665538787842]]",Current Hash:  5b5a02cee09321176542769229f820886d00d65be3f0ec7b260fc947ec97c2dd,Previous Hash:   bf67a965e12a788184879fd9ee4b9b32f9b31742a227cd151fd1329265d51940
"Data 9: [[B, 0, Credit, 2649, M, 1.0262587070465088], [X, 1, Account, 97091, M, 1.0262587070465088]]",Current Hash:  3059c4d4b9b3e8c7063f2d757fb17ebd0c7598329574a50b7acae5a9342ba905,Previous Hash:   5b5a02cee09321176542769229f820886d00d65be3f0ec7b260fc947ec97c2dd
"Data 10: [[H, 1, Credit, 73611, M, 1.031245231628418], [C, 0, Account, 1240978, M, 1.0322422981262207], [J, 1, Account, 63684, M, 1.0322422981262207], [A, 1, Account, 92346, M, 1.0342371463775635]]",Current Hash:  8e240fd4328e49495ae4708cfd0f5f283d655908829241434732f2402b68e8a2,Previous Hash:   3059c4d4b9b3e8c7063f2d757fb17ebd0c7598329574a50b7acae5a9342ba905
"Data 11: [[Q, 1, Credit, 11265, M, 1.037229299545288], [A, 0, Account, 358243, M, 1.0402212142944336], [R, 0, Credit, 14346, M, 1.0402212142944336]]",Current Hash:  0ff49c4c26203af365ca03eafd7e0d79329ef09b3eaa46f3f64b9ffc5c77ccb5,Previous Hash:   8e240fd4328e49495ae4708cfd0f5f283d655908829241434732f2402b68e8a2
"Data 12: [[Q, 1, Credit, 51992, M, 1.0511903762817383]]",Current Hash:  b5bb7348ef3ad1055471371686f6f5b05d53829335aea2030ffc23df6e55b45f,Previous Hash:   0ff49c4c26203af365ca03eafd7e0d79329ef09b3eaa46f3f64b9ffc5c77ccb5
"Data 13: [[J, 1, Account, 61860, M, 1.0521879196166992], [Y, 0, Credit, 120883, M, 1.053184986114502], [Q, 1, Credit, 30027, M, 1.0551798343658447], [B, 1, Account, 4697, M, 1.0561771392822266], [A, 1, Account, 65547, M, 1.0571744441986084]]",Current Hash:  b87fc8d0ac854f5d93c4f8b3c200d9e76ed2341854f94bce94ecb7ad41cffef7,Previous Hash:   b5bb7348ef3ad1055471371686f6f5b05d53829335aea2030ffc23df6e55b45f
"Data 14: [[X, 0, Credit, 143817, M, 1.0581717491149902], [Y, 1, Account, 81092, M, 1.0591692924499512]]",Current Hash:  b7bbeffe77f92c8ca0653db9e8c30331ed088000bfebb5d76f5bf2797815e07a,Previous Hash:   b87fc8d0ac854f5d93c4f8b3c200d9e76ed2341854f94bce94ecb7ad41cffef7
"Data 15: [[D, 0, Account, 1105455, M, 1.0611655712127686], [R, 0, Account, 52270, M, 1.0621626377105713], [T, 1, Account, 58497, M, 1.0621626377105713]]",Current Hash:  8c678355d921da7d36f8d792bdf487199580da4ea570ae2210569833999f4fbd,Previous Hash:   b7bbeffe77f92c8ca0653db9e8c30331ed088000bfebb5d76f5bf2797815e07a
"Data 16: [[Y, 1, Account, 2547, M, 1.0671491622924805], [B, 0, Account, 227836, M, 1.0681467056274414], [W, 1, Credit, 81031, M, 1.0681467056274414], [A, 0, Credit, 2970, M, 1.0691440105438232]]",Current Hash:  fafc5ead135496247d3fb07de06f7eade38e02a2e268e4bf8f4895bcffb8ed57,Previous Hash:   8c678355d921da7d36f8d792bdf487199580da4ea570ae2210569833999f4fbd
"Data 17: [[X, 0, Account, 250466, M, 1.070141315460205], [T, 1, Account, 46577, M, 1.070141315460205], [Y, 1, Account, 24368, M, 1.0721361637115479], [A, 1, Account, 17115, M, 1.0771212577819824], [Q, 0, Credit, 2104, M, 1.0821077823638916], [C, 1, Account, 48583, M, 1.0831053256988525]]",Current Hash:  9b0aec65d71d69a24f2d0356eb4daf07d5f4b82757f4b6d4f81aabc2e4c9d6d1,Previous Hash:   fafc5ead135496247d3fb07de06f7eade38e02a2e268e4bf8f4895bcffb8ed57
"Data 18: [[T, 1, Account, 34884, M, 1.0841023921966553], [C, 1, Credit, 16443, M, 1.085099697113037], [W, 1, Account, 63320, M, 1.086097002029419], [D, 0, Account, 150596, M, 1.0870945453643799]]",Current Hash:  99da3123ba22c729e4408ba590428b27b28e3237165d015deb2df430dcacb49c,Previous Hash:   9b0aec65d71d69a24f2d0356eb4daf07d5f4b82757f4b6d4f81aabc2e4c9d6d1
"Data 19: [[Y, 0, Credit, 14990, M, 1.0940759181976318], [D, 1, Account, 85687, M, 1.0950732231140137], [T, 0, Credit, 86827, M, 1.0970678329467773], [B, 1, Credit, 27782, M, 1.1000597476959229]]",Current Hash:  2015e75bef43299cfe4aa64582f6f2fa0579009835b5ffe73d6e076ac6857003,Previous Hash:   99da3123ba22c729e4408ba590428b27b28e3237165d015deb2df430dcacb49c
"Data 20: [[Q, 1, Credit, 91265, M, 1.1020545959472656]]",Current Hash:  aa1de57d555b71669867487fe681e74b2f12a5f3fb339d31e422426db75fbc8d,Previous Hash:   2015e75bef43299cfe4aa64582f6f2fa0579009835b5ffe73d6e076ac6857003
"Data 21: [[D, 1, Account, 33403, M, 1.1040494441986084], [X, 1, Account, 98300, M, 1.1040494441986084]]",Current Hash:  fc4a30bd1c019b713bb09f01818c76a951f9a1b05983b6c17b4cedb4e674e43a,Previous Hash:   aa1de57d555b71669867487fe681e74b2f12a5f3fb339d31e422426db75fbc8d
"Data 22: [[W, 0, Credit, 101059, M, 1.1040494441986084]]",Current Hash:  a14941e6bd6c74f23608c78e4fd5954cc0582d8bbbb041200341ed72c066d6d9,Previous Hash:   fc4a30bd1c019b713bb09f01818c76a951f9a1b05983b6c17b4cedb4e674e43a
"Data 23: [[R, 0, Account, 113105, M, 1.1070411205291748], [D, 1, Account, 68125, M, 1.1080384254455566]]",Current Hash:  6caa2d095c07ab8b2b4750bb8b703af98698a6a5a0a549eaeab48bab7c4e06f9,Previous Hash:   a14941e6bd6c74f23608c78e4fd5954cc0582d8bbbb041200341ed72c066d6d9
"Data 24: [[H, 1, Account, 2669, M, 1.1100330352783203], [D, 1, Account, 19089, M, 1.112027883529663], [A, 1, Account, 62555, M, 1.1150200366973877]]",Current Hash:  d155bb828d49c10c36364411b0b011d0fa02b9f1b2219f3e4fd5922d869047ac,Previous Hash:   6caa2d095c07ab8b2b4750bb8b703af98698a6a5a0a549eaeab48bab7c4e06f9
"Data 25: [[T, 1, Account, 33632, M, 1.1170144081115723]]",Current Hash:  75b812f32b16bef0b6233595a13b94aeb174ca4e27b074bd803a9cd52733c3aa,Previous Hash:   d155bb828d49c10c36364411b0b011d0fa02b9f1b2219f3e4fd5922d869047ac
"Data 26: [[B, 0, Account, 3436, M, 1.119009256362915], [R, 0, Account, 128159, M, 1.119009256362915], [D, 1, Credit, 31201, M, 1.1200063228607178], [X, 1, Account, 68368, M, 1.1210036277770996], [A, 0, Credit, 36542, M, 1.1210036277770996]]",Current Hash:  8a5b99f2e926b014a5d22cec90c388e1ca2c3e7b23ea806a553892dd0deed308,Previous Hash:   75b812f32b16bef0b6233595a13b94aeb174ca4e27b074bd803a9cd52733c3aa
"Data 27: [[Y, 1, Credit, 99261, M, 1.129981279373169], [T, 0, Credit, 88515, M, 1.1309788227081299], [Q, 1, Credit, 92537, M, 1.1329731941223145]]",Current Hash:  458548a25a0ea0d36d0f92d13bd693b9ce385ddd8ae3b11372d842ef2e94c912,Previous Hash:   8a5b99f2e926b014a5d22cec90c388e1ca2c3e7b23ea806a553892dd0deed308
"Data 28: [[H, 1, Account, 18761, M, 1.1349680423736572], [Y, 1, Account, 53245, M, 1.135965347290039], [D, 1, Credit, 7739, M, 1.136962890625], [T, 0, Credit, 125864, M, 1.136962890625], [Q, 1, Account, 84026, M, 1.136962890625]]",Current Hash:  3c0b4aede2d8c57df67ccb10f635a184dec0f3a185e4ec965e91de524233df83,Previous Hash:   458548a25a0ea0d36d0f92d13bd693b9ce385ddd8ae3b11372d842ef2e94c912
"Data 29: [[B, 1, Account, 50718, M, 1.142946481704712], [Y, 0, Credit, 156380, M, 1.1439437866210938], [A, 1, Credit, 96375, M, 1.1449413299560547], [W, 0, Account, 251305, M, 1.1449413299560547]]",Current Hash:  c58209dbfc51b2030836e45d13386f80d49ac7360039483fd3bfcd92aa74a0cc,Previous Hash:   3c0b4aede2d8c57df67ccb10f635a184dec0f3a185e4ec965e91de524233df83
"Data 30: [[R, 1, Credit, 85578, M, 1.1459386348724365], [C, 1, Account, 36352, M, 1.1489307880401611], [A, 0, Credit, 9218, M, 1.1519227027893066], [Y, 1, Account, 84616, M, 1.1529200077056885]]",Current Hash:  654574c8f370f111eb1bfe30166a5b5f9e97bda0d6b9435e5d2d75fcf322369a,Previous Hash:   c58209dbfc51b2030836e45d13386f80d49ac7360039483fd3bfcd92aa74a0cc
"Data 31: [[B, 0, Credit, 15077, M, 1.1549146175384521], [A, 0, Account, 578117, M, 1.1569268703460693]]",Current Hash:  a0b404f870d3b78331681ee14bc4d9a6fc33a8af1f878ff874f17eedc27f3ea3,Previous Hash:   654574c8f370f111eb1bfe30166a5b5f9e97bda0d6b9435e5d2d75fcf322369a
"Data 32: [[T, 1, Credit, 50891, M, 1.1569268703460693]]",Current Hash:  74fc220031234a68041c6afe4572c186fba3719ad705286eb1ec13b5776caebe,Previous Hash:   a0b404f870d3b78331681ee14bc4d9a6fc33a8af1f878ff874f17eedc27f3ea3
"Data 33: [[R, 0, Credit, 739, M, 1.1639292240142822], [W, 1, Credit, 98962, M, 1.1639292240142822]]",Current Hash:  93d1195068d528ceb63ba567036b1452b2248d463f87f33acf7545a1481edf79,Previous Hash:   74fc220031234a68041c6afe4572c186fba3719ad705286eb1ec13b5776caebe
