Data 1: Genesis Block,Current Hash:  89eb0ac031a63d2421cd05a2fbe41f3ea35f5c3712ca839cbf6b85c4ee07b7a3,Previous Hash:   0
"Data 2: [[A, 1, Credit, 10538, O, 1.4291801452636719], [I, 1, Credit, 37794, O, 1.4321722984313965], [V, 1, Credit, 97658, O, 1.4321722984313965], [L, 1, Account, 69586, O, 1.4321722984313965]]",Current Hash:  40394939bbd1f2343b20c3d16d7836031d520df0571c2876a965cfb2312c2837,Previous Hash:   89eb0ac031a63d2421cd05a2fbe41f3ea35f5c3712ca839cbf6b85c4ee07b7a3
"Data 3: [[N, 1, Credit, 3250, O, 1.4361615180969238], [T, 1, Account, 88404, O, 1.4381561279296875], [Q, 0, Credit, 157064, O, 1.4381561279296875], [H, 1, Credit, 16351, O, 1.4381561279296875]]",Current Hash:  d9cfed77ee73422a4ed43411437c408a593f2db6976c56a99361c1d7e3d857b3,Previous Hash:   40394939bbd1f2343b20c3d16d7836031d520df0571c2876a965cfb2312c2837
"Data 4: [[L, 1, Account, 81978, O, 1.4391534328460693], [X, 0, Credit, 124742, O, 1.4461348056793213], [R, 0, Account, 128722, O, 1.448129653930664]]",Current Hash:  c9fcb798c21b3aaf6a80c114a2336c179bf35e0864ad85f9bfdd2dd843c17a80,Previous Hash:   d9cfed77ee73422a4ed43411437c408a593f2db6976c56a99361c1d7e3d857b3
"Data 5: [[D, 1, Account, 99780, O, 1.449126958847046], [N, 1, Account, 98085, O, 1.449126958847046]]",Current Hash:  5d1b4cb6e101444144dac0e12c7e46d0c01694154108c9b907a1699e9f4e1103,Previous Hash:   c9fcb798c21b3aaf6a80c114a2336c179bf35e0864ad85f9bfdd2dd843c17a80
"Data 6: [[L, 1, Credit, 54161, O, 1.4541137218475342], [H, 1, Credit, 27857, O, 1.4591004848480225], [T, 1, Account, 53274, O, 1.4630897045135498]]",Current Hash:  024e7b7cf6643dcb5ecd779f34a3bdb9d58ad6373e85fd502a53908d60a23f92,Previous Hash:   5d1b4cb6e101444144dac0e12c7e46d0c01694154108c9b907a1699e9f4e1103
"Data 7: [[D, 1, Credit, 90683, O, 1.4640870094299316], [W, 1, Credit, 49075, O, 1.4660818576812744]]",Current Hash:  4248b0408d8d0a17715337c40b9b8f320ceaac014c180e37a5a82183abaeab7a,Previous Hash:   024e7b7cf6643dcb5ecd779f34a3bdb9d58ad6373e85fd502a53908d60a23f92
"Data 8: [[N, 1, Account, 36293, O, 1.4670789241790771], [Y, 1, Account, 87349, O, 1.4710683822631836], [W, 1, Account, 74519, O, 1.4730627536773682]]",Current Hash:  42cf519e5005391dccd510a7f9d43c2d4d91bf6f7e3d46c1c309a87f9464f214,Previous Hash:   4248b0408d8d0a17715337c40b9b8f320ceaac014c180e37a5a82183abaeab7a
"Data 9: [[I, 0, Account, 1061617, O, 1.4800441265106201], [X, 1, Account, 4918, O, 1.482038974761963]]",Current Hash:  af125efe151de2776cbeb3a389ef18fa595eb8172066ca2c8f1a39093d3e7432,Previous Hash:   42cf519e5005391dccd510a7f9d43c2d4d91bf6f7e3d46c1c309a87f9464f214
"Data 10: [[W, 1, Account, 76920, O, 1.4880561828613281], [Z, 1, Account, 4997, O, 1.4880561828613281], [R, 0, Credit, 13126, O, 1.4890532493591309], [C, 0, Account, 303051, O, 1.4910540580749512], [J, 0, Account, 2675, O, 1.4910540580749512], [D, 1, Account, 51442, O, 1.4920449256896973]]",Current Hash:  0079ac2de7957c3783538d749c5b5575469f7da13bf6f74813c09e36560cec00,Previous Hash:   af125efe151de2776cbeb3a389ef18fa595eb8172066ca2c8f1a39093d3e7432
"Data 11: [[X, 0, Credit, 17604, O, 1.5030159950256348], [T, 0, Credit, 71602, O, 1.5030159950256348], [N, 0, Credit, 145746, O, 1.5030159950256348], [R, 1, Credit, 91164, O, 1.5050101280212402]]",Current Hash:  0021603d04b866f23131105f39f9fcf87425b387ea4c683a411c789208895c27,Previous Hash:   0079ac2de7957c3783538d749c5b5575469f7da13bf6f74813c09e36560cec00
"Data 12: [[B, 1, Credit, 12963, O, 1.5090017318725586], [W, 1, Credit, 75976, O, 1.5090017318725586], [T, 1, Credit, 4063, O, 1.5109946727752686]]",Current Hash:  d32a3530ccb03f4974ce7230b20179edf58ad42b2b780ee882ea9193acdf4de7,Previous Hash:   0021603d04b866f23131105f39f9fcf87425b387ea4c683a411c789208895c27
"Data 13: [[V, 0, Credit, 102422, O, 1.5119922161102295], [R, 1, Credit, 77466, O, 1.5169587135314941], [X, 1, Credit, 61876, O, 1.5179758071899414], [D, 0, Account, 213681, O, 1.5189728736877441]]",Current Hash:  b1713dad661580025f97426535dc49048c29d3ad8e83e0ec0493514d5f4c71f7,Previous Hash:   d32a3530ccb03f4974ce7230b20179edf58ad42b2b780ee882ea9193acdf4de7
"Data 14: [[Q, 0, Credit, 58224, O, 1.5209681987762451], [T, 1, Credit, 32959, O, 1.5279498100280762], [Y, 1, Credit, 17667, O, 1.5279498100280762]]",Current Hash:  ad07d437b1ca74346ec58cbdaf4685c8b236fc70adf5700510eb53ab7fb7e445,Previous Hash:   b1713dad661580025f97426535dc49048c29d3ad8e83e0ec0493514d5f4c71f7
"Data 15: [[R, 0, Credit, 19087, O, 1.5339012145996094], [A, 1, Account, 75545, O, 1.5349304676055908], [W, 0, Credit, 125820, O, 1.5349304676055908], [T, 0, Credit, 229144, O, 1.5389201641082764], [Z, 1, Account, 80523, O, 1.5409164428710938]]",Current Hash:  60c6753d63a94bdb2ba32c8dc978cf41d3a8434c38cfed936a60a3687fa5a284,Previous Hash:   ad07d437b1ca74346ec58cbdaf4685c8b236fc70adf5700510eb53ab7fb7e445
"Data 16: [[T, 0, Credit, 281306, O, 1.5429089069366455]]",Current Hash:  b0397578d7fd630c403a8dc8d99b4d79b22cd9b2092d3703460129a0045f1f9b,Previous Hash:   60c6753d63a94bdb2ba32c8dc978cf41d3a8434c38cfed936a60a3687fa5a284
"Data 17: [[T, 1, Credit, 77748, O, 1.5459043979644775]]",Current Hash:  fe5a08cb3265402aa226f78f7ff9ec31acee7121f762fbf9572586b92b81723b,Previous Hash:   b0397578d7fd630c403a8dc8d99b4d79b22cd9b2092d3703460129a0045f1f9b
"Data 18: [[B, 0, Account, 134025, O, 1.5498909950256348]]",Current Hash:  37b8874803db342ca7a85c0c91d46a6b3b2894043f9a2f6bc5a5dfd7738e7d4f,Previous Hash:   fe5a08cb3265402aa226f78f7ff9ec31acee7121f762fbf9572586b92b81723b
"Data 19: [[T, 0, Credit, 154150, O, 1.552882432937622]]",Current Hash:  f3b857ed9143a5db1eb953e41850f8d830ae6cdede4beb4f728583632b61d074,Previous Hash:   37b8874803db342ca7a85c0c91d46a6b3b2894043f9a2f6bc5a5dfd7738e7d4f
"Data 20: [[L, 1, Credit, 85884, O, 1.5538828372955322], [B, 0, Credit, 140946, O, 1.5558805465698242], [D, 1, Credit, 8380, O, 1.5558805465698242], [C, 1, Account, 83360, O, 1.5568733215332031]]",Current Hash:  cb9c237bcb219e85d4a0d31f222d8a2797a6554d37060d292caf5931409a81b5,Previous Hash:   f3b857ed9143a5db1eb953e41850f8d830ae6cdede4beb4f728583632b61d074
"Data 21: [[H, 0, Credit, 97621, O, 1.560866117477417], [X, 1, Account, 80007, O, 1.5628561973571777], [B, 1, Account, 67344, O, 1.5638537406921387], [C, 0, Account, 1140406, O, 1.5648531913757324]]",Current Hash:  8a6b75c3f1d5cc83df36df26d592fae3cdd2c9ec65a10a67457e2280f0d8fc77,Previous Hash:   cb9c237bcb219e85d4a0d31f222d8a2797a6554d37060d292caf5931409a81b5
"Data 22: [[A, 0, Credit, 2128, O, 1.5708348751068115], [C, 0, Account, 1006889, O, 1.5708348751068115]]",Current Hash:  8e430efbcfcee5930c72607be8ba8be9b74a51283e1fa5a61ea7164056062b54,Previous Hash:   8a6b75c3f1d5cc83df36df26d592fae3cdd2c9ec65a10a67457e2280f0d8fc77
"Data 23: [[W, 0, Credit, 50271, O, 1.5718319416046143], [B, 1, Credit, 95971, O, 1.5738263130187988], [Z, 1, Account, 52511, O, 1.5738263130187988], [C, 1, Credit, 25731, O, 1.5748240947723389]]",Current Hash:  ab58be833cb3c74d9ee8fe44b994f01891285ddc259cea235b7cf1c96b618867,Previous Hash:   8e430efbcfcee5930c72607be8ba8be9b74a51283e1fa5a61ea7164056062b54
"Data 24: [[L, 0, Credit, 801587, O, 1.5788135528564453], [Y, 1, Account, 39403, O, 1.5818052291870117], [X, 1, Credit, 22347, O, 1.5828044414520264], [D, 1, Account, 55880, O, 1.5848169326782227], [W, 1, Credit, 50162, O, 1.5987272262573242]]",Current Hash:  8cec14666cb069c1f7a4476d078cf0edc3a219e33ae0067305115d52e83bae9f,Previous Hash:   ab58be833cb3c74d9ee8fe44b994f01891285ddc259cea235b7cf1c96b618867
