Data 1: Genesis Block,Current Hash:  89eb0ac031a63d2421cd05a2fbe41f3ea35f5c3712ca839cbf6b85c4ee07b7a3,Previous Hash:   0
"Data 2: [[A, 1, Account, 31489, U, 0.3441154956817627], [X, 1, Credit, 54317, U, 0.3441154956817627], [Q, 0, Credit, 151490, U, 0.3441154956817627]]",Current Hash:  9a9df846c7a9ed3198fc7571022bc8a064541ab7f04bef3b14bb400159087061,Previous Hash:   89eb0ac031a63d2421cd05a2fbe41f3ea35f5c3712ca839cbf6b85c4ee07b7a3
"Data 3: [[C, 0, Account, 430531, U, 0.34607529640197754], [X, 1, Account, 52156, U, 0.34607529640197754], [D, 1, Credit, 76704, U, 0.3471059799194336], [Q, 1, Credit, 51633, U, 0.3471059799194336], [R, 1, Credit, 69651, U, 0.3471059799194336]]",Current Hash:  eab1265a70b28788a43d99321e27fbd423c21a25d08d3211d9ba64939e7bc2fa,Previous Hash:   9a9df846c7a9ed3198fc7571022bc8a064541ab7f04bef3b14bb400159087061
"Data 4: [[D, 1, Credit, 50684, U, 0.3491024971008301], [B, 1, Credit, 1110, U, 0.35010194778442383]]",Current Hash:  aefdcb93e38fb5c07c687df154951294e2539727a580c1d26af51541bdf9dcc4,Previous Hash:   eab1265a70b28788a43d99321e27fbd423c21a25d08d3211d9ba64939e7bc2fa
"Data 5: [[Q, 0, Credit, 76854, U, 0.35010194778442383]]",Current Hash:  87054c91a49660145a7aa58bf1fe7e6ecc369a1980881b74ee02accbf372580a,Previous Hash:   aefdcb93e38fb5c07c687df154951294e2539727a580c1d26af51541bdf9dcc4
"Data 6: [[A, 0, Credit, 3221, U, 0.35109496116638184], [B, 1, Credit, 89191, U, 0.35109496116638184], [R, 0, Credit, 12734, U, 0.35109496116638184]]",Current Hash:  7c38683a255a769f5120afb6094d6ecef13dde651bad1f64335f24c85698e74e,Previous Hash:   87054c91a49660145a7aa58bf1fe7e6ecc369a1980881b74ee02accbf372580a
"Data 7: [[B, 0, Account, 189063, U, 0.3520936965942383], [R, 1, Account, 4364, U, 0.3520936965942383], [C, 0, Account, 395985, U, 0.3530921936035156]]",Current Hash:  3d76fdfff788b97338cd04516758091ba2a986cfaec678f968f12b7cdd4b4eb9,Previous Hash:   7c38683a255a769f5120afb6094d6ecef13dde651bad1f64335f24c85698e74e
"Data 8: [[T, 1, Credit, 66032, U, 0.3530921936035156]]",Current Hash:  a83ff6a4c7d293b733ae53f7f56ee207d3ef45dfa3fd5b6b51882cebb5775a17,Previous Hash:   3d76fdfff788b97338cd04516758091ba2a986cfaec678f968f12b7cdd4b4eb9
"Data 9: [[X, 0, Credit, 198133, U, 0.35408687591552734], [R, 1, Credit, 17669, U, 0.35408687591552734], [B, 0, Account, 183754, U, 0.3550906181335449], [A, 1, Account, 99115, U, 0.3560807704925537], [T, 0, Credit, 170021, U, 0.3560807704925537]]",Current Hash:  8eff3b651600cf3622aa3e192a85e241a0a68c01adcaa507b5940d6a9677ad0d,Previous Hash:   a83ff6a4c7d293b733ae53f7f56ee207d3ef45dfa3fd5b6b51882cebb5775a17
"Data 10: [[C, 1, Account, 19702, U, 0.35707855224609375]]",Current Hash:  5c4df51d021b1287895e4b459852cf769b4a7c203a94e5f0e622bc9b05c7ea46,Previous Hash:   8eff3b651600cf3622aa3e192a85e241a0a68c01adcaa507b5940d6a9677ad0d
"Data 11: [[R, 0, Account, 17782, U, 0.35707855224609375], [T, 1, Account, 42766, U, 0.35707855224609375], [J, 1, Account, 88405, U, 0.35707855224609375]]",Current Hash:  247d649176b3a0868c5d4693a13cd06af04de13426cf673597d47ccc1a9b7408,Previous Hash:   5c4df51d021b1287895e4b459852cf769b4a7c203a94e5f0e622bc9b05c7ea46
"Data 12: [[B, 0, Account, 640131, U, 0.3590731620788574], [R, 0, Credit, 9246, U, 0.3590731620788574], [Q, 1, Account, 59158, U, 0.3590731620788574], [A, 1, Credit, 31939, U, 0.36007237434387207], [D, 1, Account, 87295, U, 0.36007237434387207], [X, 1, Account, 8553, U, 0.36007237434387207]]",Current Hash:  4cd5dfea9d49e74ecaeb8ac2b41e0a478f18225ce8e89e845a1147f5b7ddb222,Previous Hash:   247d649176b3a0868c5d4693a13cd06af04de13426cf673597d47ccc1a9b7408
