0
Credit Withdrawl approved from A in the amount of: 82820
Credit Transfer Between B and A was Approved: 124107
Account Transfer Between B and C was Approved: 0
Account Deposit approved from D in the amount of: 5352437
Account Withdrawl approved from A in the amount of: 41815
Account Withdrawl approved from C in the amount of: 11716
Credit Withdrawl approved from D in the amount of: 18574
Credit Withdrawl approved from A in the amount of: 94499
Credit Deposit Denied from B due to lack of funds
Account Withdrawl approved from C in the amount of: 85209
Credit Withdrawl approved from D in the amount of: 97202
Credit Transfer Between A and C was Approved: 22484
Credit Withdrawl approved from B in the amount of: 35762
Account Deposit Denied from D due to lack of funds
Account Withdrawl approved from B in the amount of: 21230
Credit Deposit approved from D in the amount of: 687137
Credit Deposit approved from C in the amount of: 589417
Credit Deposit approved from D in the amount of: 944844
Credit Deposit Denied from A due to lack of funds
Account Withdrawl approved from B in the amount of: 13988
Credit Deposit approved from C in the amount of: 73796
Account Withdrawl approved from D in the amount of: 57660
Account Deposit approved from B in the amount of: 279557
Account Transfer Between D and A was Denied
Account Withdrawl approved from A in the amount of: 86719
Account Deposit Denied from B due to lack of funds
Account Withdrawl approved from A in the amount of: 66
Account Withdrawl approved from B in the amount of: 16216
Credit Withdrawl approved from C in the amount of: 50910
Credit Withdrawl approved from C in the amount of: 46673
Credit Withdrawl approved from A in the amount of: 92270
Account Deposit approved from B in the amount of: 307855
Credit Transfer Between C and A was Approved: 234897
Account Transfer Between B and C was Denied
Account Withdrawl approved from C in the amount of: 30168
Credit Deposit approved from D in the amount of: 3641390
Credit Withdrawl approved from B in the amount of: 67190
Account Transfer Between C and B was Approved: 0
Account Withdrawl approved from D in the amount of: 90978
Account Transfer Between A and C was Approved: 0
Account Withdrawl approved from B in the amount of: 9334
Credit Withdrawl approved from C in the amount of: 55802
Credit Transfer Between D and A was Approved: 3311758
Account Withdrawl approved from A in the amount of: 75347
Account Transfer Between B and A was Approved: 0
Account Transfer Between B and D was Approved: 0
Account Transfer Between C and D was Approved: 0
Account Withdrawl approved from A in the amount of: 88007
Account Transfer Between B and D was Denied
Credit Withdrawl approved from C in the amount of: 23799
Account Transfer Between C and A was Approved: 0
Credit Withdrawl approved from A in the amount of: 19605
Credit Withdrawl approved from B in the amount of: 98096
Account Transfer Between A and B was Approved: 0
Account Transfer Between C and B was Denied
Account Withdrawl approved from D in the amount of: 58630
Account Deposit approved from A in the amount of: 150158
Account Deposit Denied from C due to lack of funds
Credit Withdrawl approved from D in the amount of: 22330
Credit Deposit approved from A in the amount of: 16524
Credit Deposit Denied from C due to lack of funds
Credit Transfer Between B and A was Approved: 67615
Credit Withdrawl approved from C in the amount of: 9983
Account Deposit approved from D in the amount of: 678899
Account Withdrawl approved from B in the amount of: 91500
Credit Deposit approved from D in the amount of: 1271412
Account Deposit approved from A in the amount of: 1015219
Credit Transfer Between B and C was Approved: 62267
Credit Withdrawl approved from C in the amount of: 69344
Account Withdrawl approved from D in the amount of: 68572
Credit Withdrawl approved from A in the amount of: 72344
Credit Withdrawl approved from B in the amount of: 38338
Account Withdrawl approved from B in the amount of: 91542
Account Withdrawl approved from C in the amount of: 66471
Credit Withdrawl approved from D in the amount of: 21959
Account Deposit approved from B in the amount of: 769788
Credit Withdrawl approved from D in the amount of: 4296
Account Withdrawl approved from C in the amount of: 58496
Account Withdrawl approved from D in the amount of: 33341
Account Withdrawl approved from C in the amount of: 73364
Account Deposit approved from A in the amount of: 1158812
Account Withdrawl approved from C in the amount of: 1383
Credit Deposit approved from A in the amount of: 16154
Credit Transfer Between C and D was Approved: 232812
Credit Withdrawl approved from A in the amount of: 29113
Credit Transfer Between C and B was Denied
Credit Deposit approved from D in the amount of: 3226089
Account Deposit approved from B in the amount of: 23778
Account Transfer Between C and D was Denied
Credit Deposit approved from D in the amount of: 3571090
Credit Withdrawl approved from A in the amount of: 45165
Credit Deposit approved from D in the amount of: 2754170
Account Withdrawl approved from A in the amount of: 14253
Account Deposit approved from A in the amount of: 1039671
Credit Withdrawl approved from A in the amount of: 65469
Credit Deposit approved from B in the amount of: 62531
Account Transfer Between D and C was Approved: 0
Credit Deposit approved from B in the amount of: 39631
Credit Withdrawl approved from C in the amount of: 56256
Account Deposit approved from D in the amount of: 203710
Credit Deposit approved from A in the amount of: 43383
Account Withdrawl approved from B in the amount of: 82644
Credit Transfer Between B and A was Approved: 87839
Credit Deposit approved from D in the amount of: 2976426
Credit Withdrawl approved from A in the amount of: 1183
Credit Transfer Between B and D was Approved: 13233
Credit Transfer Between C and D was Denied
Account Withdrawl approved from A in the amount of: 44365
Credit Deposit approved from C in the amount of: 349425
Credit Transfer Between A and C was Approved: 54236
Account Withdrawl approved from B in the amount of: 37761
Account Withdrawl approved from A in the amount of: 62906
Credit Withdrawl approved from B in the amount of: 40510
Account Withdrawl approved from C in the amount of: 90347
Credit Transfer Between D and A was Approved: 751415
Credit Transfer Between B and A was Approved: 23940
Credit Deposit approved from C in the amount of: 510081
Credit Withdrawl approved from D in the amount of: 90673
Account Withdrawl approved from B in the amount of: 18734
Account Deposit approved from C in the amount of: 1810660
Account Transfer Between D and A was Approved: 0
Account Deposit approved from C in the amount of: 1155484
Account Deposit approved from D in the amount of: 4527321
Credit Withdrawl approved from A in the amount of: 91937
Credit Deposit approved from C in the amount of: 422655
Account Withdrawl approved from D in the amount of: 19229
Account Withdrawl approved from A in the amount of: 38320
Credit Transfer Between A and C was Approved: 60968
Credit Deposit approved from C in the amount of: 411611
Account Deposit approved from A in the amount of: 446621
Account Withdrawl approved from B in the amount of: 45260
Credit Withdrawl approved from C in the amount of: 51756
Account Withdrawl approved from D in the amount of: 30346
Credit Withdrawl approved from C in the amount of: 69076
Credit Withdrawl approved from B in the amount of: 13084
Credit Transfer Between C and A was Approved: 528493
Credit Transfer Between D and C was Approved: 3025332
Credit Transfer Between D and B was Denied
Account Deposit approved from B in the amount of: 53535
Credit Withdrawl approved from C in the amount of: 47578
Credit Deposit approved from B in the amount of: 83398
Account Withdrawl approved from B in the amount of: 46576
Account Deposit approved from D in the amount of: 329790
Credit Transfer Between A and D was Denied
Account Withdrawl approved from B in the amount of: 32840
Credit Withdrawl approved from C in the amount of: 25719
Credit Withdrawl approved from B in the amount of: 78416
Credit Deposit approved from C in the amount of: 129708
Account Withdrawl approved from D in the amount of: 61332
Account Transfer Between A and D was Approved: 0
Credit Withdrawl approved from C in the amount of: 86568
Account Withdrawl approved from A in the amount of: 1712
Account Withdrawl approved from C in the amount of: 9948
Account Deposit approved from A in the amount of: 152446
Credit Withdrawl approved from B in the amount of: 4051
Credit Deposit approved from C in the amount of: 186267
Credit Deposit Denied from D due to lack of funds
Credit Withdrawl approved from A in the amount of: 88212
Credit Transfer Between B and D was Approved: 79600
Credit Transfer Between C and A was Approved: 238614
Credit Withdrawl approved from D in the amount of: 91479
Credit Withdrawl approved from C in the amount of: 58113
Credit Deposit approved from B in the amount of: 1677
Account Withdrawl approved from A in the amount of: 73225
Credit Transfer Between B and A was Approved: 12860
Account Transfer Between D and C was Denied
Credit Transfer Between A and B was Approved: 20813
Credit Transfer Between B and D was Approved: 14745
Credit Withdrawl approved from C in the amount of: 98966
Credit Withdrawl approved from A in the amount of: 24543
Credit Withdrawl approved from C in the amount of: 72225
Account Withdrawl approved from D in the amount of: 31870
Account Deposit approved from A in the amount of: 1023846
Credit Transfer Between B and D was Approved: 10342
Credit Deposit approved from D in the amount of: 609012
Account Withdrawl approved from C in the amount of: 85796
Account Deposit approved from A in the amount of: 1074323
Credit Withdrawl approved from B in the amount of: 73832
Credit Deposit approved from B in the amount of: 35350
Credit Transfer Between D and A was Denied
Credit Transfer Between A and B was Approved: 14880
Credit Withdrawl approved from B in the amount of: 48596
Credit Transfer Between C and A was Approved: 180605
Credit Transfer Between D and C was Denied
Account Withdrawl approved from A in the amount of: 50862
Credit Withdrawl approved from B in the amount of: 6934
Account Withdrawl approved from C in the amount of: 64223
Credit Transfer Between A and D was Approved: 15575
Credit Deposit approved from B in the amount of: 159532
Credit Withdrawl approved from C in the amount of: 38297
Credit Withdrawl approved from A in the amount of: 51527
Credit Deposit approved from B in the amount of: 5699
Credit Withdrawl approved from D in the amount of: 86439
Credit Withdrawl approved from B in the amount of: 98362
Credit Transfer Between C and D was Approved: 341979
Credit Deposit approved from A in the amount of: 6668
Credit Deposit approved from B in the amount of: 91079
Credit Transfer Between C and A was Denied
Account Deposit approved from D in the amount of: 525720
Account Withdrawl approved from B in the amount of: 62419
Credit Withdrawl approved from A in the amount of: 23435
Credit Transfer Between A and B was Approved: 55957
Credit Transfer Between B and A was Approved: 30649
Account Withdrawl approved from C in the amount of: 50020
Credit Withdrawl approved from B in the amount of: 60181
Credit Deposit approved from D in the amount of: 436554
Account Deposit approved from D in the amount of: 1605544
Account Deposit approved from A in the amount of: 111340
Credit Withdrawl approved from B in the amount of: 32749
Account Deposit approved from C in the amount of: 1514496
Account Deposit approved from D in the amount of: 383710
Credit Transfer Between A and C was Approved: 10656
Credit Deposit approved from B in the amount of: 70844
Account Deposit approved from C in the amount of: 698935
Account Withdrawl approved from A in the amount of: 37554
Credit Transfer Between B and A was Approved: 54598
Account Withdrawl approved from C in the amount of: 56678
Account Withdrawl approved from D in the amount of: 24438
Credit Withdrawl approved from C in the amount of: 42164
Account Deposit approved from A in the amount of: 379031
Account Withdrawl approved from B in the amount of: 95783
Account Deposit approved from C in the amount of: 391427
Credit Withdrawl approved from A in the amount of: 36262
Account Deposit approved from B in the amount of: 829488
Account Withdrawl approved from A in the amount of: 28262
Account Withdrawl approved from B in the amount of: 10085
Account Deposit approved from C in the amount of: 1134275
Credit Deposit approved from B in the amount of: 59193
Credit Withdrawl approved from C in the amount of: 38216
Credit Transfer Between A and B was Denied
Account Withdrawl approved from B in the amount of: 30259
Account Deposit approved from B in the amount of: 20703
Credit Transfer Between A and B was Approved: 21064
Credit Deposit approved from B in the amount of: 36096
Credit Deposit approved from B in the amount of: 130904
Account Withdrawl approved from D in the amount of: 28993
Credit Withdrawl approved from A in the amount of: 63605
Account Deposit approved from A in the amount of: 791624
Credit Transfer Between B and D was Approved: 128164
Account Withdrawl approved from D in the amount of: 48997
Account Withdrawl approved from A in the amount of: 25389
Account Deposit approved from B in the amount of: 56671
Account Withdrawl approved from C in the amount of: 20193
Credit Withdrawl approved from C in the amount of: 25451
Account Deposit approved from A in the amount of: 1027334
Credit Withdrawl approved from B in the amount of: 43606
Account Withdrawl approved from C in the amount of: 37790
Account Withdrawl approved from D in the amount of: 47372
Credit Transfer Between A and B was Approved: 32977
Account Deposit approved from B in the amount of: 706783
Credit Transfer Between D and A was Approved: 1864671
Account Deposit approved from A in the amount of: 903952
Credit Withdrawl approved from B in the amount of: 77525
Credit Withdrawl approved from D in the amount of: 42639
Credit Withdrawl approved from A in the amount of: 23567
Credit Withdrawl approved from A in the amount of: 50781
Account Deposit approved from B in the amount of: 773867
Credit Withdrawl approved from A in the amount of: 99856
Credit Withdrawl approved from B in the amount of: 4310
Account Deposit approved from B in the amount of: 287558
Credit Deposit approved from B in the amount of: 40063
Credit Deposit approved from B in the amount of: 77505
Account Withdrawl approved from C in the amount of: 3469
Credit Withdrawl approved from D in the amount of: 83318
Credit Deposit approved from B in the amount of: 152343
Credit Withdrawl approved from C in the amount of: 23019
Account Withdrawl approved from D in the amount of: 57315
Credit Deposit approved from A in the amount of: 53842
Credit Deposit approved from B in the amount of: 36678
Account Deposit approved from A in the amount of: 35812
Credit Deposit approved from B in the amount of: 10311
Credit Withdrawl approved from C in the amount of: 44522
